tarih,haftalik_getiri,pozisyon,strateji_getiri,strateji_kumulatif,bh_kumulatif,rejim
2022-10-09,0.12188677788022018,1,0.12188677788022018,1.9204393266823918,1.9204393266823918,🐂 Boğa
2022-10-16,0.016649841248898678,1,0.016649841248898678,1.9524143365997955,1.9524143365997955,🐂 Boğa
2022-10-23,0.08480845561688977,1,0.08480845561688977,2.1179955812110984,2.1179955812110984,🐂 Boğa
2022-10-30,-0.014131079495536047,1,-0.014131079495536047,2.08806601728181,2.08806601728181,🐂 Boğa
2022-11-06,0.08713581692188588,1,0.08713581692188588,2.270011355484489,2.270011355484489,🐂 Boğa
2022-11-13,0.056556863589679374,1,0.056556863589679374,2.3983960780636484,2.3983960780636484,🐂 Boğa
2022-11-20,0.015980267437721407,1,0.015980267437721407,2.4367230888126876,2.4367230888126876,🐂 Boğa
2022-11-27,0.07678871550626587,1,0.07678871550626587,2.6238359248470746,2.6238359248470746,🐂 Boğa
2022-12-04,0.01819752200673319,1,0.01819752200673319,2.671583236831536,2.671583236831536,🐂 Boğa
2022-12-11,0.008523076650626571,1,0.008523076650626571,2.6943533455375803,2.6943533455375803,🐂 Boğa
2022-12-18,0.04175566785031415,1,0.04175566785031415,2.8068578689052304,2.8068578689052304,🐂 Boğa
2022-12-25,0.046123221937536485,1,0.046123221937536485,2.936319197339867,2.936319197339867,🐂 Boğa
2023-01-01,0.009972903057288152,1,0.009972903057288152,2.9656028240401913,2.9656028240401913,🐂 Boğa
2023-01-08,-0.03034925251591314,1,-0.03034925251591314,2.87559899507149,2.87559899507149,🐂 Boğa
2023-01-15,-0.06684762966623214,1,-0.06684762966623214,2.683372018380362,2.683372018380362,🐂 Boğa
2023-01-22,0.10138611723886148,1,0.10138611723886148,2.9554286884313536,2.9554286884313536,🐂 Boğa
2023-01-29,-0.05436855004689578,1,-0.05436855004689578,2.794746315874342,2.794746315874342,🐂 Boğa
2023-02-05,-0.03740509275587223,1,-0.03740509275587223,2.69020857069993,2.69020857069993,🐂 Boğa
2023-02-12,-0.09850737139926591,1,-0.09850737139926591,2.425203195884504,2.425203195884504,🐂 Boğa
2023-02-19,0.11575252755422927,1,0.11575252755422927,2.70592659564073,2.70592659564073,🐂 Boğa
2023-02-26,0.00636591314612156,1,0.00636591314612156,2.7231522893283593,2.7231522893283593,🐂 Boğa
2023-03-05,0.030362920541328275,1,0.030362920541328275,2.8058351459111726,2.8058351459111726,🐂 Boğa
2023-03-12,0.03303672583391126,1,0.03303672583391126,2.8985307523617925,2.8985307523617925,🐂 Boğa
2023-03-19,-0.0460945139211123,1,-0.0460945139211123,2.7649243862462796,2.7649243862462796,🐂 Boğa
2023-03-26,-0.020325514333618067,1,-0.020325514333618067,2.708725876002261,2.708725876002261,🐂 Boğa
2023-04-02,-0.04354129613164104,1,-0.04354129613164104,2.5907844404958076,2.5907844404958076,🐂 Boğa
2023-04-09,0.02320842117907418,1,0.02320842117907418,2.650912456975026,2.650912456975026,🐂 Boğa
2023-04-16,0.03417540798810026,1,0.03417540798810026,2.741508471732885,2.741508471732885,🐂 Boğa
2023-04-23,-0.01582596083451482,1,-0.01582596083451482,2.6981214660317496,2.6981214660317496,🐂 Boğa
2023-04-30,-0.07868643922496499,1,-0.07868643922496499,2.485815895273269,2.485815895273269,🐂 Boğa
2023-05-07,-0.047012770622482325,1,-0.047012770622482325,2.3689508027790662,2.3689508027790662,🐂 Boğa
2023-05-14,0.08971106616264213,1,0.08971106616264213,2.581471904983223,2.581471904983223,🐂 Boğa
2023-05-21,-0.06128534231133709,1,-0.06128534231133709,2.4232655156192267,2.4232655156192267,🐂 Boğa
2023-05-28,0.017548910003467588,1,0.017548910003467588,2.465791184067335,2.465791184067335,🐂 Boğa
2023-06-04,0.11664149582186711,1,0.11664149582186711,2.7534047561613217,2.7534047561613217,🐂 Boğa
2023-06-11,0.10000005727669925,1,0.10000005727669925,3.0287453894833902,3.0287453894833902,🐂 Boğa
2023-06-18,-0.026837256338642757,1,-0.026837256338642757,2.947462173081342,2.947462173081342,🐂 Boğa
2023-06-25,0.019596272973439355,1,0.019596272973439355,3.005221446403931,3.005221446403931,🐂 Boğa
2023-07-02,0.03157918305598639,1,0.03157918305598639,3.100123884583697,3.100123884583697,🐂 Boğa
2023-07-09,0.07431722417443809,1,0.07431722417443809,3.3305164862828334,3.3305164862828334,🐂 Boğa
2023-07-16,0.04050362107072836,1,0.04050362107072836,3.465414464013047,3.465414464013047,🐂 Boğa
2023-07-23,0.038849195333251485,1,0.038849195333251485,3.6000430274361648,3.6000430274361648,🐂 Boğa
2023-07-30,0.0567451300295454,1,0.0567451300295454,3.804327937139988,3.804327937139988,🐂 Boğa
2023-08-06,0.047160954038665714,1,0.047160954038665714,3.983743672131459,3.983743672131459,🐂 Boğa
2023-08-13,0.04240190035212299,1,0.04240190035212299,4.152661974345578,4.152661974345578,🐂 Boğa
2023-08-20,-0.026068157321532892,1,-0.026068157321532892,4.044409728695189,4.044409728695189,🐂 Boğa
2023-08-27,0.02707205932012391,1,0.02707205932012391,4.153900228785312,4.153900228785312,🐂 Boğa
2023-09-03,0.04398249829565426,1,0.04398249829565426,4.33659913851818,4.33659913851818,🐂 Boğa
2023-09-10,0.0334156928335112,1,0.0334156928335112,4.481509603272973,4.481509603272973,🐂 Boğa
2023-09-17,-0.04363809905429428,1,-0.04363809905429428,4.285945043292576,4.285945043292576,🐂 Boğa
2023-09-24,0.009696132530614854,1,0.009696132530614854,4.327502134451272,4.327502134451272,🐂 Boğa
2023-10-01,0.03678230244478997,1,0.03678230244478997,4.486677626791133,4.486677626791133,🐂 Boğa
2023-10-08,0.015597032089330165,1,0.015597032089330165,4.556656481710674,4.556656481710674,🐂 Boğa
2023-10-15,-0.04153628306006041,1,-0.04153628306006041,4.367389908278881,4.367389908278881,🐂 Boğa
2023-10-22,-0.0742730930220662,1,-0.0742730930220662,4.04301035135765,4.04301035135765,🐂 Boğa
2023-10-29,0.026056129074872203,1,0.026056129074872203,4.14835555092367,4.14835555092367,🐂 Boğa
2023-11-05,-5.189251495141267e-05,1,-5.189251495141267e-05,4.1481402823212195,4.1481402823212195,🐂 Boğa
2023-11-12,0.008473936186256026,1,0.008473936186256026,4.183291358365247,4.183291358365247,🐂 Boğa
2023-11-19,0.010564518774043297,1,0.010564518774043297,4.22748581845799,4.22748581845799,🐂 Boğa
2023-11-26,0.013573760927071632,1,0.013573760927071632,4.284868700280325,4.284868700280325,🐂 Boğa
2023-12-03,0.008329103789389114,1,0.008329103789389114,4.320557816408864,4.320557816408864,🐂 Boğa
2023-12-10,-0.014016434706035308,1,-0.014016434706035308,4.259998999881518,4.259998999881518,🐂 Boğa
2023-12-17,0.010121564403762884,1,0.010121564403762884,4.303116854118785,4.303116854118785,🐂 Boğa
2023-12-24,-0.054579077441052726,1,-0.054579077441052726,4.068256706099937,4.068256706099937,🐂 Boğa
2023-12-31,-0.011564501424387252,1,-0.011564501424387252,4.021209345627471,4.021209345627471,🐂 Boğa
2024-01-07,0.02121761913561171,1,0.02121761913561171,4.106529833987557,4.106529833987557,🐂 Boğa
2024-01-14,0.04690179758114299,1,0.04690179758114299,4.299133465022167,4.299133465022167,🐂 Boğa
2024-01-21,0.0012771864481286865,1,0.0012771864481286865,4.30462426002239,4.30462426002239,🐂 Boğa
2024-01-28,0.043718032832930964,1,0.043718032832930964,4.49281396475548,4.49281396475548,🐂 Boğa
2024-02-04,0.03826846946481188,1,0.03826846946481188,4.664747078776806,4.664747078776806,🐂 Boğa
2024-02-11,0.04388564769998293,1,0.04388564769998293,4.869462525685529,4.869462525685529,🐂 Boğa
2024-02-18,0.022595677128118163,1,0.022595677128118163,4.97949132870339,4.97949132870339,🐂 Boğa
2024-02-25,0.013383148444527038,1,0.013383148444527038,5.046132600333663,5.046132600333663,🐂 Boğa
2024-03-03,-0.029549136223803618,1,-0.029549136223803618,4.897023740723027,4.897023740723027,🐂 Boğa
2024-03-10,0.006386463655565278,1,0.006386463655565278,4.928298404863595,4.928298404863595,🐂 Boğa
2024-03-17,-0.03567326085173328,1,-0.03567326085173328,4.7524899303117145,4.7524899303117145,🐂 Boğa
2024-03-24,0.03203193260226356,1,0.03203193260226356,4.904721367452396,4.904721367452396,🐂 Boğa
2024-03-31,0.003391272165963022,1,0.003391272165963022,4.921354612507641,4.921354612507641,🐂 Boğa
2024-04-07,0.05210885379770147,1,0.05210885379770147,5.177800760497446,5.177800760497446,🐂 Boğa
2024-04-14,0.020314431074808237,1,0.020314431074808237,5.282984837165661,5.282984837165661,🐂 Boğa
2024-04-21,-0.012298590762220729,1,-0.012298590762220729,5.218011568650343,5.218011568650343,🐂 Boğa
2024-04-28,0.022912242090063373,1,0.022912242090063373,5.3375679129400115,5.3375679129400115,🐂 Boğa
2024-05-05,0.036437609814133465,1,0.036437609814133465,5.532056129908159,5.532056129908159,🐂 Boğa
2024-05-12,-0.0056730229230036455,1,-0.0056730229230036455,5.500672648671847,5.500672648671847,🐂 Boğa
2024-05-19,0.04159085761468839,1,0.04159085761468839,5.729450341587769,5.729450341587769,🐂 Boğa
2024-05-26,0.003109921765213519,1,0.003109921765213519,5.747268483907782,5.747268483907782,🐂 Boğa
2024-06-02,-0.02586938870561406,1,-0.02586938870561406,5.598590161502047,5.598590161502047,🐂 Boğa
2024-06-09,-0.025143060280621965,1,-0.025143060280621965,5.457824471584904,5.457824471584904,🐂 Boğa
2024-06-16,0.03277439707131791,1,0.03277439707131791,5.636701377962184,5.636701377962184,🐂 Boğa
2024-06-23,0.028659310086011303,1,0.028659310086011303,5.798245350615449,5.798245350615449,🐂 Boğa
2024-06-30,-0.01146551790572048,1,-0.01146551790572048,5.731765464726207,5.731765464726207,🐂 Boğa
2024-07-07,0.019149270245442995,1,0.019149270245442995,5.841524590593746,5.841524590593746,🐂 Boğa
2024-07-14,0.01963736381615,1,0.01963736381615,5.956236734220222,5.956236734220222,🐂 Boğa
2024-07-21,0.00825125472203192,1,0.00825125472203192,6.0053831606989965,6.0053831606989965,🐂 Boğa
2024-07-28,-0.02373561435476257,1,-0.02373561435476257,5.86284170194406,5.86284170194406,🐂 Boğa
2024-08-04,-0.038369781044739204,1,-0.038369781044739204,5.6378857495405,5.6378857495405,🐂 Boğa
2024-08-11,-0.05405066962976579,1,-0.05405066962976579,5.333154249481722,5.333154249481722,🐂 Boğa
2024-08-18,-0.008619805928444024,1,-0.008619805928444024,5.287183494864733,5.287183494864733,🐂 Boğa
2024-08-25,-0.01566902887595789,1,-0.01566902887595789,5.20433846401121,5.20433846401121,🐂 Boğa
2024-09-01,0.017076930986726246,1,0.017076930986726246,5.2932125927926945,5.2932125927926945,🐂 Boğa
2024-09-08,-0.006305203302286677,1,-0.006305203302286677,5.259837811272913,5.259837811272913,🐂 Boğa
2024-09-15,-0.008770739269868932,1,-0.008770739269868932,5.21370514522844,5.21370514522844,🐂 Boğa
2024-09-22,0.022177479322989635,1,0.022177479322989635,5.329331983282908,5.329331983282908,🐂 Boğa
2024-09-29,-0.01240361248086752,1,-0.01240361248086752,5.263229014580374,5.263229014580374,🐂 Boğa
2024-10-06,-0.06834056008390643,1,-0.06834056008390643,4.903536995874084,4.903536995874084,🐂 Boğa
2024-10-13,-0.025589217864649516,0,-0.0,4.903536995874084,4.7780593193792935,↔️  Yatay
2024-10-20,-0.009305898958333003,0,-0.0,4.903536995874084,4.733595182136228,🐻 Ayı
2024-10-27,0.0130664356143384,0,0.0,4.903536995874084,4.795446398807954,🐻 Ayı
2024-11-03,-0.002637943947199073,1,-0.002637943947199073,4.890601740135952,4.782796280006101,🐂 Boğa
2024-11-10,0.03374219844997772,1,0.03374219844997772,5.055621394591426,4.944178341231883,🐂 Boğa
2024-11-17,0.02229770068318704,1,0.02229770068318704,5.168350127215542,5.054422150008968,🐂 Boğa
2024-11-24,0.01707215021187425,1,0.01707215021187425,5.256584976934925,5.140712004188146,🐂 Boğa
2024-12-01,0.010691226935633624,1,0.010691226935633624,5.312784319829778,5.195672522835657,🐂 Boğa
2024-12-08,0.04444667710011618,1,0.04444667710011618,5.548919928995813,5.4266029017760795,🐂 Boğa
2024-12-15,0.004414268137533872,1,0.004414268137533872,5.573414349436106,5.450557382060438,🐂 Boğa
2024-12-22,-0.039602999752036405,0,-0.0,5.573414349436106,5.234698959410238,↔️  Yatay
2024-12-29,0.03095281253404991,0,0.0,5.573414349436106,5.39672761497305,↔️  Yatay
2025-01-05,-0.01354551084749378,0,-0.0,5.573414349436106,5.323626182523463,↔️  Yatay
